threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,passes_quality_gate,passes_nominal_savings_gate,passes_conservative_savings_gate,passes_macro_gate,passes_harm_gate,passes_precision_gate,passes_guarded_dataset_gate,gate_pass_count,passes_base_gates,feasible_block_size,passes_stability_gate,is_feasible,setup
0.855,0.6904422253922967,0.7047075606276747,0.979757085020243,0.9668743967291692,0.04992867332382311,0.05713853170331904,0.8789974070872947,0.8623361070153852,0.47858823529411765,0.41262482168330955,0.9971468184572356,0.9658946880407463,18.0,0.8709677419354839,0.7237241272005246,12.0,1.8675453296877476,1.9527850990648277,0.04365035836145037,0.035456932465450564,0.5873751783166904,False,True,True,False,False,False,False,2,False,0,False,False,safety_only_r4
0.86,0.6900855920114123,0.7047075606276747,0.9792510121457491,0.9667791965253061,0.04743223965763196,0.05448243771637105,0.8770794824399261,0.8597135387047163,0.4465882352941177,0.38587731811697573,0.9959853171893374,0.9660774526392824,18.0,0.8774193548387096,0.7330273387785943,12.0,1.8741034965921697,1.9527850990648277,0.040291992452389125,0.03209856655638943,0.6141226818830242,False,True,True,False,False,False,False,2,False,0,False,False,safety_only_r4
0.865,0.6904422253922967,0.7047075606276747,0.979757085020243,0.9679996564481618,0.042796005706134094,0.04953611656750408,0.8803589232303091,0.8624715985960134,0.41552941176470587,0.35770328102710414,0.9944636132668668,0.9646236340046741,18.0,0.8903225806451612,0.7582809075926115,12.0,1.8796180496116657,1.9527850990648277,0.037468049857714014,0.029274623961714652,0.6422967189728959,False,True,True,False,False,False,False,2,False,0,False,False,safety_only_r4
0.87,0.6943651925820257,0.7047075606276747,0.9853238866396762,0.9740089714288103,0.03815977175463623,0.04456977043007103,0.8838219326818675,0.8653190832657268,0.3830588235294118,0.3284593437945792,0.9969806396458964,0.9690013817574794,18.0,0.9305555555555556,0.810597249051641,12.0,1.885063879378665,1.9527850990648277,0.034679299692830456,0.02648587379683065,0.6715406562054208,False,True,True,False,False,False,False,2,False,0,False,False,safety_only_r4
0.875,0.6961483594864479,0.7047075606276747,0.9878542510121459,0.9771989055539307,0.033523537803138374,0.0395798154051868,0.8856447688564477,0.866107906552104,0.34258823529411764,0.29315263908701855,0.9964441344541789,0.968976330593006,18.0,0.9354838709677419,0.8228379765474808,12.0,1.8919259486447932,1.9527850990648277,0.031165308691253002,0.022971882795253418,0.7068473609129815,False,True,True,False,False,False,False,2,False,0,False,False,safety_only_r4
0.88,0.7014978601997147,0.7047075606276747,0.9954453441295548,0.9856305760972339,0.026390870185449358,0.03184508016629488,0.8989071038251366,0.8790861052983582,0.3096470588235294,0.26105563480741795,1.0040726729123004,0.9779893499252227,18.0,0.9583333333333334,0.8729399524340201,12.0,1.8974715295609443,1.9527850990648277,0.028325477048330883,0.020132051152331187,0.738944365192582,False,True,True,False,False,False,False,2,False,0,False,False,safety_only_r4
0.885,0.7007845934379457,0.7047075606276747,0.9944331983805668,0.9853526412482597,0.023181169757489302,0.02833536487289459,0.8981191222570533,0.8767094693252822,0.2696470588235294,0.2275320970042796,1.0021140208031036,0.9800286667882889,18.0,0.9612903225806452,0.8815461144781546,12.0,1.9028178998256458,1.9527850990648277,0.02558765901230542,0.017394233116305835,0.7724679029957204,False,True,True,True,False,False,False,3,False,0,False,False,safety_only_r4
0.89,0.703281027104137,0.7047075606276747,0.9979757085020244,0.9896503032770004,0.018544935805991442,0.023223345841397163,0.9076376554174067,0.885570096390004,0.24047058823529413,0.2007845934379458,1.0044874591700725,0.9828782839977297,18.0,0.9677419354838709,0.9064737663973863,12.0,1.9093485584086223,1.9527850990648277,0.02224337981532465,0.014049953919325064,0.7992154065620543,False,True,True,True,True,False,True,5,False,0,False,False,safety_only_r4
0.895,0.7029243937232525,0.7047075606276747,0.9974696356275305,0.9896156333805471,0.016761768901569187,0.021240541704932045,0.9056224899598394,0.8818288750695479,0.21223529411764705,0.17760342368045648,1.003307903452518,0.9847393535278709,18.0,0.9722222222222223,0.9169185765218506,12.0,1.9137918988746234,1.9527850990648277,0.01996799351289491,0.011774567616895215,0.8223965763195435,False,True,True,True,True,False,True,5,False,0,False,False,safety_only_r4
0.9,0.7036376604850214,0.7047075606276747,0.9984817813765183,0.9914666286598349,0.013195435092724679,0.017238514125024088,0.9125295508274232,0.8872326370853342,0.1816470588235294,0.1508559201141227,1.0034841852252383,0.9860814199096709,18.0,0.9652777777777778,0.9171169796254549,12.0,1.9206352076398794,1.9527850990648277,0.016463609559671744,0.00827018366367216,0.8491440798858774,True,True,True,True,True,False,True,6,False,0,False,False,safety_only_r4
0.905,0.7047075606276747,0.7047075606276747,1.0,0.9935509848452597,0.010699001426533523,0.014399521216131113,0.9130434782608695,0.8847673438115393,0.14823529411764705,0.12303851640513552,1.0043568605314663,0.988257723738183,18.0,0.9722222222222223,0.9275319361276733,12.0,1.92693888809637,1.9527850990648277,0.013235563391401972,0.005042137495402277,0.8769614835948645,True,True,True,True,True,False,True,6,False,0,False,False,safety_only_r4
0.91,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.994921084052268,0.007845934379457917,0.01110043487237254,0.9236111111111112,0.8937423440633642,0.1251764705882353,0.10271041369472182,1.0038790245369804,0.9909860313679559,18.0,0.9728260869565216,0.9300065467465762,12.0,1.9319162656522424,1.9527850990648277,0.010686702506373713,0.002493276610373907,0.8972895863052782,True,True,True,True,True,False,True,6,False,0,False,False,safety_only_r4
